,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.003124856948852539,0.006249713897705078,0.0,0.0,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",1.0,0.9583333333333334,1.0,1.0,1.0,0.9916666666666668,0.016666666666666653,1
43,0.00020961761474609376,0.0004192352294921876,0.0,0.0,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.9583333333333334,1.0,1.0,1.0,0.9916666666666668,0.016666666666666653,1
46,0.0,0.0,0.0,0.0,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.9583333333333334,1.0,1.0,1.0,0.9916666666666668,0.016666666666666653,1
15,0.0,0.0,0.0,0.0,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,0.9583333333333334,1.0,1.0,1.0,0.9916666666666668,0.016666666666666653,1
13,0.0031249523162841797,0.006249904632568359,0.0031249523162841797,0.006249904632568359,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",1.0,0.9583333333333334,1.0,1.0,1.0,0.9916666666666668,0.016666666666666653,1
1,0.0,0.0,0.0,0.0,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",1.0,0.9583333333333334,1.0,1.0,1.0,0.9916666666666668,0.016666666666666653,1
2,0.0,0.0,0.003124856948852539,0.006249713897705078,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",1.0,0.9583333333333334,1.0,1.0,1.0,0.9916666666666668,0.016666666666666653,1
50,0.000999593734741211,3.8738433859996607e-07,0.00020003318786621094,0.0004000663757324219,1,,,1,"{'C': 1, 'gamma': 1}",1.0,0.875,1.0,1.0,1.0,0.975,0.049999999999999996,8
5,0.0,0.0,0.0,0.0,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.9583333333333334,0.9666666666666666,0.0485912657903775,9
19,0.0031246662139892576,0.006249332427978514,0.0,0.0,10,,linear,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.9583333333333334,0.9666666666666666,0.0485912657903775,9
17,0.0,0.0,0.0,0.0,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.9583333333333334,0.9666666666666666,0.0485912657903775,9
4,0.003124427795410156,0.006248855590820312,0.0,0.0,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.9583333333333334,0.9666666666666666,0.0485912657903775,9
3,0.0,0.0,0.0,0.0,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.9583333333333334,0.9666666666666666,0.0485912657903775,9
20,0.0,0.0,0.0,0.0,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.875,1.0,1.0,0.9166666666666666,0.9583333333333334,0.052704627669472995,14
11,0.0,0.0,0.0,0.0,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,15
47,0.0,0.0,0.0,0.0,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,0.875,1.0,0.9583333333333334,0.9166666666666666,0.95,0.048591265790377515,15
10,0.0,0.0,0.0,0.0,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,15
9,0.0,0.0,0.0,0.0,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,15
8,0.0,0.0,0.0031248092651367187,0.006249618530273437,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,15
44,0.0003996849060058594,0.0004895120388033056,0.003451633453369141,0.0054180530340286965,1000,3,sigmoid,0.0001,"{'C': 1000, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,0.875,1.0,0.9583333333333334,0.9166666666666666,0.95,0.048591265790377515,15
7,0.0,0.0,0.0,0.0,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,15
21,0.0,0.0,0.0,0.0,100,,linear,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,15
6,0.0,0.0,0.0,0.0,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,15
23,0.003124856948852539,0.006249713897705078,0.0,0.0,100,,linear,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,15
40,0.0,0.0,0.0,0.0,100,4,sigmoid,0.001,"{'C': 100, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.875,1.0,0.9583333333333334,0.9166666666666666,0.95,0.048591265790377515,15
37,0.0,0.0,0.0,0.0,100,3,sigmoid,0.001,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.875,1.0,0.9583333333333334,0.9166666666666666,0.95,0.048591265790377515,15
48,0.003194427490234375,0.003910497233262322,0.0003996372222900391,0.0004894536906783155,0.1,,,1,"{'C': 0.1, 'gamma': 1}",0.9583333333333334,0.875,1.0,0.9583333333333334,0.9166666666666666,0.9416666666666668,0.042491829279939886,27
51,0.001598691940307617,0.0004896678273403551,0.0005999088287353515,0.0004898236545258665,1,,,10,"{'C': 1, 'gamma': 10}",0.9166666666666666,0.875,0.9583333333333334,1.0,0.9583333333333334,0.9416666666666667,0.042491829279939886,28
30,0.0,0.0,0.0,0.0,10,3,sigmoid,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",1.0,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9333333333333333,0.05651941652604389,29
33,0.0,0.0,0.0,0.0,10,4,sigmoid,0.01,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",1.0,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9333333333333333,0.05651941652604389,29
16,0.0,0.0,0.0,0.0,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.9166666666666666,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.875,0.9,0.042491829279939865,31
22,0.0,0.0,0.0,0.0,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9166666666666666,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.875,0.9,0.042491829279939865,31
39,0.0,0.0,0.0,0.0,100,4,sigmoid,0.01,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8833333333333334,0.04082482904638627,33
36,0.0005995750427246094,0.0007992745299226028,0.0003996372222900391,0.0004894536442237294,100,3,sigmoid,0.01,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8833333333333334,0.04082482904638627,33
34,0.0,0.0,0.0,0.0,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,35
31,0.0031246185302734376,0.006249237060546876,0.0,0.0,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,35
38,0.003124856948852539,0.006249713897705078,0.0,0.0,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,35
41,0.0,0.0,0.0,0.0,100,4,sigmoid,0.0001,"{'C': 100, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,35
42,0.0011992454528808594,0.0009787906038263676,0.0030518531799316405,0.005617446317574779,1000,3,sigmoid,0.01,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8083333333333333,0.020412414523193187,39
45,0.00020961761474609376,0.0004192352294921876,0.00020961761474609376,0.0004192352294921876,1000,4,sigmoid,0.01,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8083333333333333,0.020412414523193187,39
27,0.0,0.0,0.0,0.0,1,4,sigmoid,0.01,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6916666666666667,0.020412414523193187,41
24,0.003124856948852539,0.006249713897705078,0.0,0.0,1,3,sigmoid,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6916666666666667,0.020412414523193187,41
14,0.0,0.0,0.0,0.0,1,,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,43
49,0.001199197769165039,0.00039949428497334686,0.0003997802734375,0.000489628932452029,0.1,,,10,"{'C': 0.1, 'gamma': 10}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,43
12,0.0031249523162841797,0.006249904632568359,0.0,0.0,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,43
28,0.0,0.0,0.0031246185302734376,0.006249237060546875,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,43
26,0.003124856948852539,0.006249713897705078,0.0,0.0,1,3,sigmoid,0.0001,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,43
35,0.0,0.0,0.003124856948852539,0.006249713897705078,10,4,sigmoid,0.0001,"{'C': 10, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,43
32,0.0,0.0,0.0,0.0,10,3,sigmoid,0.0001,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,43
29,0.0031246185302734376,0.006249237060546875,0.0,0.0,1,4,sigmoid,0.0001,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,43
18,0.0,0.0,0.0031246662139892576,0.006249332427978514,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,43
25,0.0,0.0,0.0,0.0,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,43
